39,100,111,108,108,143,35,136
129,109,195,109,195,136,129,136
219,109,266,109,266,145,219,145
499,112,539,112,539,145,499,145
554,110,617,112,617,146,553,145
288,111,374,114,373,147,287,144
396,109,477,115,475,140,394,135
465,189,537,189,537,222,465,222
329,190,449,190,449,222,329,222
42,193,147,188,149,222,44,227
254,191,310,191,310,229,254,229
181,194,230,194,230,227,181,227
484,263,535,263,535,291,484,291
400,264,460,264,460,293,400,293
290,269,370,270,370,292,290,290
157,272,264,272,264,305,157,305
531,278,548,278,548,285,531,285
40,275,126,279,125,304,39,301
